Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Pineapple Guava,6,Feijoa sellowiana (Acca sellowiana),"sun, partial sun",10,"Pineapple guava is an underutilized medium to large evergreen shrub. The dark gray-green to blue-green foliage is attractive year-round. The most unique feature is the unusual fragrant flowers. Profusion of bloom varies among seedlings, but can be numerous. Individual flowers have petals that are purple inside, white outside, and with long red stamens. From a distance the overall effect is reminiscent of passion flowers (Passiflora spp.). In the USDA zone 9 (8B?) the edible green-red fruit are an added feature. The growth form tends to be a bit open and leggy, hence old specimens are sometimes limbed up to reveal the showy exfoliating bark.","Shrub, medium shrub, large shrub","Overall light purple, petals white and purple, stamens red",Spring,"Oval berry, green-red, 2 inch to 3 inch long, edible",108,96,9,"Good drainage is critical, much more vigorous when shielded from direct afternoon sun. Fairly tolerant of soil salts. Can survive in humid areas, but is more vigorous in lower humidity locales. Scale insects and mealy bugs can be troublesome pests.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Annual Fountain Grass or Crimson Fountaingrass,6,Pennisetum setaceum,"sun, partial sun",10,"Annual Fountain Grass is a fantastic summer annual for the northern three-fours of Texas and can be used as a herbaceous perennial in USDA zone 9b. The species type is seldom seen, with most cultivars in the trade derived from the red-leaved forms. The plants form an upright rounded fountain of usually bronze or red-green leaves topped from mid-summer to late fall by narrow bottle-brush or foxtail-like flower spikes ranging from off-white to red-bronze. Plants add much movement to the landscape in the slightest breeze.","Warm season annual, perennial, grasses, tropical",Off-white to bronze-red,"Summer, fall","Fadded version of the flower, attractive into late fall or early winter",42,24,5,"Very versatile species sometimes escaping cultivation; often marketed as a perennial in much of Texas, but only reliably so in southern portions of USDA zone 9; if it does return in zones 9a and 8b it tends to lack vigor.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Perennial Fountain Grass,6,Pennisetum alopecuroides,"sun, partial sun",10,"Perennial Fountain Grass is valued for its moderately fine textured foliage and foxtail like flowers. Several dwarf versions have become popular in recent years. Not as colorful nor striking in appearance as the red-leaved forms of Pennisetum setaceum, but more reliably cold hardy from USDA zones 5 to 8.","Perennial, grasses","Off-white, foxtail like plume","Summer, fall","Persistant, effective late summer till early winter",24,18,5,Not as generally drought or heat tolerant as P. setaceum.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Rockrose,6,Pavonia lasiopetala,"sun, partial sun",10,"Rockrose is a small deciduous to semi-evergreen shrub, subshrub, herbaceous perennial or summer annual depending upon the region in which it is grown. Plants have irregularly rounded crowns and look best in masses. The small cordate leaves and pink hibiscus-like flowers add seasonal interest. It works best as summer color, a tall bank or groundcover, in mixed perennial borders, for naturalizing, or low shrub in warmer regions.","warm season annual, perennial, groundcover, shrub, small shrub",Pink,"Spring, summer, fall",Schizocarp,36,42,10,Plants are marginally hardy in USDA zone 7 and are usually subshrubs or herbaceous perennials in zone 8.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Climbing Fig or Creeping Fig,6,Ficus pumila,"sun, partial sun, shade",10,Climbing or clinging vine (holdfasts) or sprawling groundcover with very fine textured immature leaves and large coarser textured mature foliage. Immature vines closely follow the contour of surfaces on which they climb. Mature vines are more shrubby in form sending out short branches from the structures.,"Perennial, groundcover, interiorscape, vine",Not ornamental,"Spring, summer",Not ornamental,0,0,6,"Very aggressive, but attractive clinging vine; cold hardiness in the primary limiting factor; can be grown in protected portions of USDA zone 8b, sometimes as a returning herbaceous perennial vine in 8a. Can be used in high light interiorscapes.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Parasol Tree,6,Firmiana simplex,"sun, partial sun",10,Chinese Parasol Tree is an introduced small to medium size upright oval to rounded crown. The large tropical leaves and bright green stems add an exotic touch. Its coarse-texture is exaggerated by the club-like branches in winter. Terminal panicles of yellow-green flowers are followed by ornamental green to tan fruit. This species has naturalized and become a weed in some locales.,"Tree, small tree, medium tree",Yellow-green; 10 inch to 20 inch long terminal panicles; noticeable if not overly showy,"Spring, summer",Whitish green then cinnamon tan clusters of pubescent follicles,360,240,8,The thin bark of trunk is prone to physical damage; branches are prone to splitting in snow and ice loads.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Monkey Grass,6,Ophiopogon japonica,"partial sun, shade",10,"Clump forming ground cover spreading by rhizomes. Monkey Grass has narrow, grass-like leaves, but it is not a grass. More mat-forming in growth habit than Liriope spp. Valued as a shade groundcover.","Perennial, groundcover",White,Summer,Small eigth to quarter inch diameter blue-black fruit,5,0,7,"With adequate water, it will survive in full sun in Texas, but looks much better if receiving at least afternoon shade. In full sun use Lioriope spp., in shade Ophiopogon spp.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Black Bamboo,6,Phyllostachys nigra,"sun, partial sun, shade",10,Black Bamboo can generally be thought of as a smaller more shrubby version of Phyllostachys aurea. Black Bamboo has attractive dark green to purple-black culms (stems).,"Large shrub, tropical","Rare in cultivation, signal death of above ground portions of the plant","Spring, summer","Seldom encountered, not ornamental",41,0,6,Adapted to similar conditions as P. aurea. May be somewhat easier to contain spacially than P. aurea.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Blue Plumbago,6,Plumbago auriculata,"sun, partial sun",10,Blue Plumbago is a tropical shrub that is frequently planted as a herbaceous perennial or summer annual in cooler climates. Plants form irregularly mounded small shrubs with clusters of white to medium blue flowers from spring to frost.,"Warm season annual, perennial, small shrub, tropical","Typically pale blue, sometimes darker blue or white","Spring, summer, fall",Sticky beaked capsule,36,42,9,"Rapid grower that requires N applications during the growing season to retain its dark green color, tendency for flowers of some cultivars to fade in the heat; requires regular pruning to remain dense.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Silver Grass,6,Miscanthus sinensis,"sun, partial sun",10,"Miscanthus sinensis is perhaps the most versatile species of perennial ornamental grasses used in the United States. Significant variation exists within the species resulting in cultivars of various sizes, textures, and foliage colors. Most have attractive plumes of off-white flowers in summer, which remain effective into early winter.","Perennial, grasses","Off-white, somewhat loose panicle","Summer, fall","Persistent, attractive",39,24,7,"Excellent perennial grass with few problems, although the recently introduced miscanthus mealybug bears monitoring.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Chinese Pistachio,6,Pistachia chinensis,sun,10,"Chinese Pistachio is a medium size deciduous tree suitable for use in all but the coldest portions of the Panhandle. It develops a spreading apple-tree or white oak-like growth habit. The medium textured dark green foliage turns yellow, orange, red, or maroon in autumn and is one of our most reliable trees for fall color in the southern two-thirds of Texas. Red to blue-black fruit are features of female trees, but seedlings can be invasive in some areas of Texas.","Medium tree, large tree","Pruple-green to red-green, not particularly ornamental.",Spring,"Panicles of red to blue-black drupes, eaten by birds, effective on female trees from late summer to fall.",420,540,10,"Highly adaptable, to the point of invasiveness in some locales; tends to be slow to establish in the landscape requiring three to five years before putting on vigorous growth, bit of an ugly duckling.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Japanese Black Pine,6,Pinus thunbergiana,sun,10,Japanese Black Pine develops into a picturesque more open conifer than many of the adapted pines for Texas landscapes. Japanese Black Pine is a favorite for oriental gardens and stays more in scale with small urban lots. This handsome pine can be used in most regions of Texas with proper care.,"Upright conifer, tree, small tree, medium tree",Not ornamental,Spring,2 inch ovate woody cone,360,300,7,"One of the better adapted pines to alkaline soils, but requires good drainage. Slower grower and more irregular in growth habit than the larger Pinus taeda, Pinus elliottii, or Pinus nigra.",High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Tree Cholla,6,Opuntia imbricata,sun,10,"Tree Cholla is the most frequently utilized native tubular stem cacti in Texas. This West Texas native forms a medium shrub to small tree with branched swollen tubular stem segments resulting in a candelabra effect. Attractive purple-pink flowers and 1 inch to 2 inch long yellow fruit are assets. Excellent xeriscape plant, adds a southwestern flare to landscapes.","Medium shrub, large shrub, small tree",Pink-purple,"Spring, summer","Tuna, urn-shaped, yellow",72,54,10,Surprisingly adapted to a wide range of soils as long as they are well drained; cochineal scale and squash bugs can mar their appearance.,High Heat Tolerance,Low Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
